Class,Message
ham,"Aight, I'll text you when I'm back"
ham,No prob. I will send to your email.
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/4146
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/1579
spam,Claim your exclusive reward by clicking here: bit.ly/7394. Act fast!
ham,Ho ho - big belly laugh! See ya tomo
ham,Takin a shower now but yeah I'll leave when I'm done
ham,Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...
ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?"
ham,Aiyah u did ok already lar. E nydc at wheellock?
ham,Lol where do u come up with these ideas?
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
spam,Claim your exclusive reward by clicking here: bit.ly/4777. Act fast!
ham,Da is good good player.why he is unsold.
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,"Sorry battery died, yeah I'm here"
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/9841
ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
spam,Limited time offer! Get 48% off on all products. Use code SPAM95 at checkout.
ham,"Tee hee. Off to lecture, cheery bye bye."
ham,Kallis wont bat in 2nd innings.
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/9277
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/2604
ham,I cant pick the phone right now. Pls send a message
ham,Reckon need to be in town by eightish to walk from * carpark.
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/8929
spam,You have been selected for a cash prize of $4617. Respond with 'YES' to claim.
ham,"Hiya, had a good day? Have you spoken to since the weekend?"
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
ham,Dunno y u ask me.
ham,Good Morning plz call me sir
spam,Your account has been compromised! Reset your password here: bit.ly/4102
ham,I'll text now! All creepy like so he won't think that we forgot
spam,You have been selected for a cash prize of $4956. Respond with 'YES' to claim.
spam,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7"
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
ham,Gibbs unsold.mike hussey
spam,Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
ham,Where u been hiding stranger?
ham,"Now, whats your house # again ? And do you have any beer there ?"
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876"
spam,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p"
ham,Ok i am on the way to railway
ham,Home so we can always chat
ham,Just taste fish curry :-P
ham,"Not sure yet, still trying to get a hold of him"
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
ham,How much i gave to you. Morning.
ham,LOL that would be awesome payback.
spam,Limited time offer! Get 65% off on all products. Use code SPAM93 at checkout.
ham,Got it! It looks scrumptious... daddy wants to eat you all night long!
ham,No da if you run that it activate the full version da.
spam,WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm
spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop"
ham,Great. Never been better. Each day gives even more reasons to thank God
spam,Money i have won wining number 946 wot do i do next
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
spam,08714712388 between 10am-7pm Cost 10p
spam,Your account has been compromised! Reset your password here: bit.ly/5130
spam,Limited time offer! Get 25% off on all products. Use code SPAM39 at checkout.
ham,Hey i will be late ah... Meet you at 945+
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/3255
ham,Hi:)cts employee how are you?
spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
ham,"Merry Christmas to you too babe, i love ya *kisses*"
spam,You have been selected for a cash prize of $3715. Respond with 'YES' to claim.
ham,Aiyah then i wait lor. Then u entertain me. Hee...
spam,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost £1.50. 2 cancel send STOP"
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den..."
spam,Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm
spam,Claim your exclusive reward by clicking here: bit.ly/1374. Act fast!
ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/9327
ham,Oh. U must have taken your REAL Valentine out shopping first.
spam,As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
ham,"Height of ""Oh shit....!!"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay,.;-):-D"
spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
spam,Claim your exclusive reward by clicking here: bit.ly/6757. Act fast!
spam,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch
ham,Chk in ur belovd ms dict
spam,Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
ham,Are you this much buzy
spam,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur ‘rents mayb interested in it, I hav 12,000pes, so around £48, tb, James."
ham,Dear good morning now only i am up
ham,Ok no prob... I'll come after lunch then...
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,Umma my life and vava umma love you lot dear
ham,Yo dude guess who just got arrested the other day
ham,From here after The performance award is calculated every two month.not for current one month period..
ham,The wine is flowing and i'm i have nevering..
spam,You have been selected for a cash prize of $2467. Respond with 'YES' to claim.
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award
ham,Going for dinner.msg you after.
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
spam,You have been selected for a cash prize of $4873. Respond with 'YES' to claim.
ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.
ham,Cos i want it to be your thing
ham,"Haha yeah I see that now, be there in a sec"
spam,Missed call alert. These numbers called but left no message. 07008009200
ham,Shopping lor. Them raining mah hard 2 leave orchard.
ham,What pa tell me.. I went to bath:-)
spam,Claim your exclusive reward by clicking here: bit.ly/7655. Act fast!
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/4202
ham,Can not use foreign stamps in this country. Good lecture .
ham,U ned to convince him tht its not possible witot hurting his feeling its the main
ham,You tell what happen dont behave like this to me. Ok no need to say
spam,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"
ham,Did u download the fring app?
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
ham,Exactly. Anyways how far. Is jide her to study or just visiting
spam,Claim your exclusive reward by clicking here: bit.ly/3245. Act fast!
ham,"""Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx"""
ham,Oh ic. I thought you meant mary jane.
ham,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT"
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
ham,"K, can that happen tonight?"
spam,New job alert! Earn $196/day from home. No experience needed. Apply now!
ham,say thanks2.
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
ham,"sorry, no, have got few things to do. may be in pub later."
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam,<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
ham,K..k:)where are you?how did you performed?
ham,In fact when do you leave? I think addie goes back to school tues or wed
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/9037
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
ham,Oh that was a forwarded message. I thought you send that to me
ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone
ham,Wah lucky man... Then can save money... Hee...
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
ham,"I've got  &lt;#&gt; , any way I could pick up?"
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
ham,Wife.how she knew the time of murder exactly
ham,I dunno they close oredi not... Ü v ma fan...
spam,Limited time offer! Get 61% off on all products. Use code SPAM16 at checkout.
spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner
ham,"Aight, I'll hit you up when I get some cash"
spam,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321."
ham,"Sir, i am waiting for your call."
spam,Limited time offer! Get 58% off on all products. Use code SPAM95 at checkout.
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/2816
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
ham,Dear reached railway. What happen to you
spam,Your account has been compromised! Reset your password here: bit.ly/3609
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/4851
spam,"Latest News! Police station toilet stolen, cops have nothing to go on!"
ham,"Yes..but they said its IT.,"
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,Msg me when rajini comes.
spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m)
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
ham,I wonder if you'll get this text?
ham,Hey gals.. Anyone of u going down to e driving centre tmr?
ham,I asked sen to come chennai and search for job.
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
ham,Me n him so funny...
ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
spam,Claim your exclusive reward by clicking here: bit.ly/6780. Act fast!
spam,You have an important customer service announcement from PREMIER.
ham,"Arms fine, how's Cardiff and uni?"
ham,Going on nothing great.bye
spam,You have been selected for a cash prize of $485. Respond with 'YES' to claim.
ham,Maybe i could get book out tomo then return it immediately ..? Or something.
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/4433
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )"
ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin
ham,First answer my question.
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)"
spam,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
ham,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
ham,U calling me right? Call my hand phone...
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/5622
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P"
spam,New job alert! Earn $3967/day from home. No experience needed. Apply now!
ham,K do I need a login or anything
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/6153
spam,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
spam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
ham,Oh Howda gud gud.. Mathe en samachara chikku:-)
ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
ham,I tot u reach liao. He said t-shirt.
ham,No no. I will check all rooms befor activities
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/2669
spam,Claim your exclusive reward by clicking here: bit.ly/9515. Act fast!
spam,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/3408
spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
ham,"Cool, text me when you're ready"
spam,New job alert! Earn $4357/day from home. No experience needed. Apply now!
spam,This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
spam,Limited time offer! Get 70% off on all products. Use code SPAM78 at checkout.
spam,Claim your exclusive reward by clicking here: bit.ly/5547. Act fast!
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only
spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge
ham,Waaaat?? Lololo ok next time then!
ham,"Ah, well that confuses things, doesn‘t it?"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
spam,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611
spam,WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.
spam,"URGENT! Last weekend's draw shows that you have won £1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm"
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/5185
ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.."
ham,Fine i miss you very much.
spam,Limited time offer! Get 83% off on all products. Use code SPAM54 at checkout.
spam,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/3829
ham,My uncles in Atlanta. Wish you guys a great semester.
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
ham,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up"
ham,Kallis is ready for bat in 2nd innings
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
ham,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
spam,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO"
ham,Are you angry with me. What happen dear
ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
ham,Get ready to put on your excellent sub face :)
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/9878
ham,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*"
spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
ham,By monday next week. Give me the full gist
spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/6174
ham,I am great! How are you?
ham,The battery is for mr adewale my uncle. Aka Egbon
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,"""ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX."""
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/4911
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
ham,Dear i have reache room
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
ham,Hmm .. Bits and pieces lol ... *sighs* ...
ham,Ü wait 4 me in sch i finish ard 5..
ham,"Yeah, where's your class at?"
ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz haven’t sent u 1 in ages started driving so stay off roads!RVx
ham,"Yeah sure, give me a couple minutes to track down my wallet"
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/3373
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/4612
spam,Claim your exclusive reward by clicking here: bit.ly/4810. Act fast!
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
ham,Lol. Well quality aint bad at all so i aint complaining
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/7574
ham,Then why you not responding
spam,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service"
spam,Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save £s with Free texts/weekend calls. Text YES for a callback orno to opt out
spam,You have been selected for a cash prize of $1822. Respond with 'YES' to claim.
ham,"Thank you. And by the way, I just lost."
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
ham,Yes da. Any plm at ur office
ham,Yay! You better not have told that to 5 other girls either.
ham,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going
spam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
ham,Ok..
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
ham,"Oops, I'll let you know when my roommate's done"
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/4016
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
spam,FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18
ham,You can never do NOTHING
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
spam,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!
ham,Shb b ok lor... Thanx...
ham,It shall be fine. I have avalarr now. Will hollalater
spam,New job alert! Earn $3644/day from home. No experience needed. Apply now!
spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50
ham,Just wait till end of march when el nino gets himself. Oh.
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/5374
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/4648
ham,How would my ip address test that considering my computer isn't a minecraft server
ham,Probably gonna swing by in a wee bit
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m..."
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/1279
ham,Where are you lover ? I need you ...
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/2175
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/5365
ham,Hi :)finally i completed the course:)
ham,Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
spam,Claim your exclusive reward by clicking here: bit.ly/6762. Act fast!
ham,Nvm it's ok...
spam,Your account has been compromised! Reset your password here: bit.ly/4431
ham,K come to nordstrom when you're done
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
ham,No..but heard abt tat..
ham,I'm aight. Wat's happening on your side.
ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?"
ham,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?
spam,You have been selected for a cash prize of $4974. Respond with 'YES' to claim.
spam,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm
ham,Okay... I booked all already... Including the one at bugis.
ham,I come n pick ü up... Come out immediately aft ur lesson...
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/1012
ham,Yes:)here tv is always available in work place..
ham,No. On the way home. So if not for the long dry spell the season would have been over
ham,Happy new year to u too!
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
ham,Are you in castor? You need to see something
spam,Limited time offer! Get 40% off on all products. Use code SPAM19 at checkout.
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
spam,New job alert! Earn $450/day from home. No experience needed. Apply now!
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
spam,Limited time offer! Get 48% off on all products. Use code SPAM39 at checkout.
